episode_id,episode_number,episode_title,publish_date,youtube_url,transcript_filename,relative_transcript_path,episode_type,guest_caller_name,main_topic,secondary_topics,topic_tags,semantic_keywords,short_summary,detailed_summary,key_takeaways,nicks_main_advice,caller_problem,resolution,memorable_quotes,potential_email_angles,suggested_email_subject_lines,potential_short_hooks,relevant_audience,emotional_themes,weight_loss_stage,cta_recommendation,transcript_status,review_notes,main_category,search_terms,hidden_concepts,central_struggle,core_coaching_theme,incidental_concepts_mentioned,success_story
EP-028,28,"How to eat out, be social, and still lose weight",2025-03-09,https://youtube.com/watch?v=sAROLmuh77M,"EP-028 - How to eat out, be social, and still lose weight - EP 028.txt","../YT Transcripts/EP-028 - How to eat out, be social, and still lose weight - EP 028.txt",Solo,,motivation,"[""food guilt"", ""identity change"", ""restaurant eating"", ""social pressure"", ""sustainable habits""]","[""motivation"", ""food guilt"", ""identity change"", ""restaurant eating"", ""social pressure"", ""sustainable habits""]","[""food guilt"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""motivation"", ""restaurant eating"", ""social pressure"", ""sustainable habits""]",An episode centered on motivation.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (040)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""food guilt"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""motivation"", ""restaurant eating"", ""social pressure"", ""sustainable habits""]",[],,,[],False
EP-029,29,How I stayed motivated to lose 110 pounds,2025-03-09,https://youtube.com/watch?v=SWwBt9ZptC0,EP-029 - How I stayed motivated to lose 110 pounds - EP 029.txt,../YT Transcripts/EP-029 - How I stayed motivated to lose 110 pounds - EP 029.txt,Solo,,motivation,"[""fear of regain"", ""maintenance mindset"", ""relationships"", ""scale obsession"", ""social pressure""]","[""motivation"", ""fear of regain"", ""maintenance mindset"", ""relationships"", ""scale obsession"", ""social pressure""]","[""how to maintain weight loss"", ""maintenance mindset"", ""motivation"", ""relationships"", ""scale obsession"", ""scared to gain the weight back"", ""social pressure""]",An episode centered on motivation.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (041)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""how to maintain weight loss"", ""maintenance mindset"", ""motivation"", ""relationships"", ""scale obsession"", ""scared to gain the weight back"", ""social pressure""]",[],,,[],False
EP-030,30,Setting up your environment for weight loss success,2025-03-09,https://youtube.com/watch?v=LnJRnllJLms,EP-030 - Setting up your environment for weight loss success - EP 030.txt,../YT Transcripts/EP-030 - Setting up your environment for weight loss success - EP 030.txt,Success Story,,nutrition,"[""cravings"", ""food guilt"", ""relationships"", ""sustainable habits""]","[""nutrition"", ""cravings"", ""food guilt"", ""relationships"", ""sustainable habits""]","[""food guilt"", ""how to stop food noise"", ""nutrition"", ""relationships"", ""sustainable habits"", ""why can't I eat just one""]",An episode centered on nutrition.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (042)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Nutrition,"[""food guilt"", ""how to stop food noise"", ""nutrition"", ""relationships"", ""sustainable habits"", ""why can't I eat just one""]",[],,,[],True
EP-031,31,Always eating low calorie foods sucks,2025-03-09,https://youtube.com/watch?v=0028NeZ75Is,EP-031 - Always eating low calorie foods sucks - EP 031.txt,../YT Transcripts/EP-031 - Always eating low calorie foods sucks - EP 031.txt,Solo,,nutrition,"[""maintenance mindset"", ""motivation"", ""relationships"", ""scale obsession"", ""sustainable habits""]","[""nutrition"", ""maintenance mindset"", ""motivation"", ""relationships"", ""scale obsession"", ""sustainable habits""]","[""maintenance mindset"", ""motivation"", ""nutrition"", ""relationships"", ""scale obsession"", ""sustainable habits""]",An episode centered on nutrition.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (043)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Nutrition,"[""maintenance mindset"", ""motivation"", ""nutrition"", ""relationships"", ""scale obsession"", ""sustainable habits""]",[],,,[],False
EP-032,32,"Losing on weekdays, gaining on weekends",2025-03-09,https://youtube.com/watch?v=rqgt2pWBDIk,"EP-032 - Losing on weekdays, gaining on weekends - EP 032.txt","../YT Transcripts/EP-032 - Losing on weekdays, gaining on weekends - EP 032.txt",Solo,,weekend overeating,"[""cravings"", ""food guilt"", ""nutrition"", ""relationships"", ""sustainable habits""]","[""weekend overeating"", ""cravings"", ""food guilt"", ""nutrition"", ""relationships"", ""sustainable habits""]","[""food guilt"", ""how to stop food noise"", ""nutrition"", ""relationships"", ""sustainable habits"", ""weekend overeating"", ""why can't I eat just one""]",An episode centered on weekend overeating.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (044)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""food guilt"", ""how to stop food noise"", ""nutrition"", ""relationships"", ""sustainable habits"", ""weekend overeating"", ""why can't I eat just one""]",[],,,[],False
EP-033,33,Dating & relationships - Before & after losing 110 pounds,2025-03-09,https://youtube.com/watch?v=svwMxuOyuyE,EP-033 - Dating & relationships - Before & after losing 110 pounds - EP 033.txt,../YT Transcripts/EP-033 - Dating & relationships - Before & after losing 110 pounds - EP 033.txt,Solo,,relationships,"[""confidence"", ""social pressure"", ""sustainable habits""]","[""relationships"", ""confidence"", ""social pressure"", ""sustainable habits""]","[""confidence"", ""relationships"", ""social pressure"", ""sustainable habits""]",An episode centered on relationships.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (045)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Relationships,"[""confidence"", ""relationships"", ""social pressure"", ""sustainable habits""]",[],,,[],False
EP-034,34,Cheat meals are BS - 5 years after losing 110 pounds,2025-03-09,https://youtube.com/watch?v=y4BfWu-euF4,EP-034 - Cheat meals are BS - 5 years after losing 110 pounds - EP 034.txt,../YT Transcripts/EP-034 - Cheat meals are BS - 5 years after losing 110 pounds - EP 034.txt,Solo,,food guilt,"[""all-or-nothing thinking"", ""cravings"", ""identity change"", ""relationships"", ""sustainable habits""]","[""food guilt"", ""all-or-nothing thinking"", ""cravings"", ""identity change"", ""relationships"", ""sustainable habits""]","[""I keep restarting every Monday"", ""food guilt"", ""how to stop food noise"", ""how to stop starting over"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""relationships"", ""sustainable habits"", ""why can't I eat just one""]",An episode centered on food guilt.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (046)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""I keep restarting every Monday"", ""food guilt"", ""how to stop food noise"", ""how to stop starting over"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""relationships"", ""sustainable habits"", ""why can't I eat just one""]",[],,,[],False
EP-035,35,My ongoing struggle after weight loss,2025-03-09,https://youtube.com/watch?v=w8kM8U8o7ms,EP-035 - My ongoing struggle after weight loss - EP 035.txt,../YT Transcripts/EP-035 - My ongoing struggle after weight loss - EP 035.txt,Solo,,maintenance mindset,"[""fear of regain"", ""nutrition"", ""relationships""]","[""maintenance mindset"", ""fear of regain"", ""nutrition"", ""relationships""]","[""how to maintain weight loss"", ""maintenance mindset"", ""nutrition"", ""relationships"", ""scared to gain the weight back""]",An episode centered on maintenance mindset.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (047)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Weight Loss Maintenance,"[""how to maintain weight loss"", ""maintenance mindset"", ""nutrition"", ""relationships"", ""scared to gain the weight back""]",[],,,[],False
EP-036,36,Answering your weight loss questions #3,2025-03-09,https://youtube.com/watch?v=kcMKdiyfDFU,EP-036 - Answering your weight loss questions #3 - EP 036.txt,../YT Transcripts/EP-036 - Answering your weight loss questions #3 - EP 036.txt,Q&A,,relationships,"[""confidence"", ""fear of regain"", ""food guilt"", ""maintenance mindset"", ""social pressure""]","[""relationships"", ""confidence"", ""fear of regain"", ""food guilt"", ""maintenance mindset"", ""social pressure""]","[""confidence"", ""food guilt"", ""how to maintain weight loss"", ""maintenance mindset"", ""relationships"", ""scared to gain the weight back"", ""social pressure""]",An episode centered on relationships.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (048)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Relationships,"[""confidence"", ""food guilt"", ""how to maintain weight loss"", ""maintenance mindset"", ""relationships"", ""scared to gain the weight back"", ""social pressure""]",[],,,[],False
EP-037,37,The best exercise routine for sustainable weight loss,2025-03-09,https://youtube.com/watch?v=9GX3VzncnQk,EP-037 - The best exercise routine for sustainable weight loss - EP 037.txt,../YT Transcripts/EP-037 - The best exercise routine for sustainable weight loss - EP 037.txt,Solo,,exercise routine,"[""consistency"", ""food guilt"", ""relationships"", ""scale obsession"", ""sustainable habits""]","[""exercise routine"", ""consistency"", ""food guilt"", ""relationships"", ""scale obsession"", ""sustainable habits""]","[""I know what to do but I don't do it"", ""consistency over perfection"", ""exercise routine"", ""food guilt"", ""relationships"", ""scale obsession"", ""sustainable habits""]",An episode centered on exercise routine.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (049)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Exercise,"[""I know what to do but I don't do it"", ""consistency over perfection"", ""exercise routine"", ""food guilt"", ""relationships"", ""scale obsession"", ""sustainable habits""]",[],,,[],False
EP-038,38,Should you take ozempic?,2025-03-09,https://youtube.com/watch?v=G3ayPhDqDb8,EP-038 - Should you take ozempic- - EP 038.txt,../YT Transcripts/EP-038 - Should you take ozempic- - EP 038.txt,Solo,,medication,"[""confidence"", ""cravings"", ""identity change"", ""nutrition"", ""relationships""]","[""medication"", ""confidence"", ""cravings"", ""identity change"", ""nutrition"", ""relationships""]","[""confidence"", ""how to stop food noise"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""medication"", ""nutrition"", ""relationships"", ""why can't I eat just one""]",An episode centered on medication.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (050)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Nutrition,"[""confidence"", ""how to stop food noise"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""medication"", ""nutrition"", ""relationships"", ""why can't I eat just one""]",[],,,[],False
EP-039,39,Are You Making Your Kids Fat?,2025-03-09,https://youtube.com/watch?v=6vdp9NJ1ETk,EP-039 - Are You Making Your Kids Fat- - EP 039.txt,../YT Transcripts/EP-039 - Are You Making Your Kids Fat- - EP 039.txt,Solo,,sustainable habits,"[""binge eating"", ""body image"", ""calorie tracking"", ""confidence"", ""relationships""]","[""sustainable habits"", ""binge eating"", ""body image"", ""calorie tracking"", ""confidence"", ""relationships""]","[""body image"", ""breaking binge cycles"", ""calorie tracking"", ""confidence"", ""relationships"", ""sustainable habits"", ""why can't I stop binge eating""]",An episode centered on sustainable habits.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (052)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""body image"", ""breaking binge cycles"", ""calorie tracking"", ""confidence"", ""relationships"", ""sustainable habits"", ""why can't I stop binge eating""]",[],,,[],False
EP-040,40,Traveling on your weight loss journey,2025-03-09,https://youtube.com/watch?v=2psjYghtcII,EP-040 - Traveling on your weight loss journey - EP 040.txt,../YT Transcripts/EP-040 - Traveling on your weight loss journey - EP 040.txt,Solo,,cravings,"[""calorie tracking"", ""emotional eating"", ""food guilt"", ""nutrition"", ""relationships""]","[""cravings"", ""calorie tracking"", ""emotional eating"", ""food guilt"", ""nutrition"", ""relationships""]","[""calorie tracking"", ""food guilt"", ""how to stop emotional eating"", ""how to stop food noise"", ""nutrition"", ""relationships"", ""why can't I eat just one"", ""why do I eat my feelings""]",An episode centered on cravings.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (051)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""calorie tracking"", ""food guilt"", ""how to stop emotional eating"", ""how to stop food noise"", ""nutrition"", ""relationships"", ""why can't I eat just one"", ""why do I eat my feelings""]",[],,,[],False
EP-041,41,My easy weight loss morning routine,2025-03-09,https://youtube.com/watch?v=HHrSpisCFa0,EP-041 - My easy weight loss morning routine - EP 041.txt,../YT Transcripts/EP-041 - My easy weight loss morning routine - EP 041.txt,Solo,,consistency,"[""fear of regain"", ""food guilt"", ""maintenance mindset"", ""sustainable habits"", ""weekend overeating""]","[""consistency"", ""fear of regain"", ""food guilt"", ""maintenance mindset"", ""sustainable habits"", ""weekend overeating""]","[""I know what to do but I don't do it"", ""consistency over perfection"", ""food guilt"", ""how to maintain weight loss"", ""maintenance mindset"", ""scared to gain the weight back"", ""sustainable habits"", ""weekend overeating""]",An episode centered on consistency.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (053)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""I know what to do but I don't do it"", ""consistency over perfection"", ""food guilt"", ""how to maintain weight loss"", ""maintenance mindset"", ""scared to gain the weight back"", ""sustainable habits"", ""weekend overeating""]",[],,,[],False
EP-042,42,How I cured depression & lost 110 pounds naturally,2025-03-09,https://youtube.com/watch?v=U-oWB2bO5Tc,EP-042 - How I cured depression & lost 110 pounds naturally - EP 042.txt,../YT Transcripts/EP-042 - How I cured depression & lost 110 pounds naturally - EP 042.txt,Success Story,,relationships,"[""confidence"", ""scale obsession"", ""sustainable habits""]","[""relationships"", ""confidence"", ""scale obsession"", ""sustainable habits""]","[""confidence"", ""relationships"", ""scale obsession"", ""sustainable habits""]",An episode centered on relationships.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (054)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Relationships,"[""confidence"", ""relationships"", ""scale obsession"", ""sustainable habits""]",[],,,[],True
EP-043,43,The diet to end all diets...,2025-03-09,https://youtube.com/watch?v=EhEP9Rdvk2c,EP-043 - The diet to end all diets... - EP 043.txt,../YT Transcripts/EP-043 - The diet to end all diets... - EP 043.txt,Solo,,fear of regain,"[""maintenance mindset"", ""motivation"", ""nutrition"", ""social pressure"", ""sustainable habits""]","[""fear of regain"", ""maintenance mindset"", ""motivation"", ""nutrition"", ""social pressure"", ""sustainable habits""]","[""how to maintain weight loss"", ""maintenance mindset"", ""motivation"", ""nutrition"", ""scared to gain the weight back"", ""social pressure"", ""sustainable habits""]",An episode centered on fear of regain.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (055)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Weight Loss Maintenance,"[""how to maintain weight loss"", ""maintenance mindset"", ""motivation"", ""nutrition"", ""scared to gain the weight back"", ""social pressure"", ""sustainable habits""]",[],,,[],False
EP-044,44,Everything I Wish I Knew Before Losing 110 Pounds Naturally,2025-03-09,https://youtube.com/watch?v=xFM7p4gRPyc,EP-044 - Everything I Wish I Knew Before Losing 110 Pounds Naturally - EP 044.txt,../YT Transcripts/EP-044 - Everything I Wish I Knew Before Losing 110 Pounds Naturally - EP 044.txt,Solo,,sustainable habits,"[""calorie tracking"", ""fear of regain"", ""maintenance mindset"", ""motivation"", ""nutrition""]","[""sustainable habits"", ""calorie tracking"", ""fear of regain"", ""maintenance mindset"", ""motivation"", ""nutrition""]","[""calorie tracking"", ""how to maintain weight loss"", ""maintenance mindset"", ""motivation"", ""nutrition"", ""scared to gain the weight back"", ""sustainable habits""]",An episode centered on sustainable habits.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (056)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""calorie tracking"", ""how to maintain weight loss"", ""maintenance mindset"", ""motivation"", ""nutrition"", ""scared to gain the weight back"", ""sustainable habits""]",[],,,[],False
EP-045,45,Why Willpower Fails: The secret to sustainable weight loss,2025-03-09,https://youtube.com/watch?v=WMKA-d7FaI8,EP-045 - Why Willpower Fails- The secret to sustainable weight loss - EP 045.txt,../YT Transcripts/EP-045 - Why Willpower Fails- The secret to sustainable weight loss - EP 045.txt,Solo,,sustainable habits,"[""cravings"", ""food guilt"", ""identity change"", ""motivation"", ""relationships""]","[""sustainable habits"", ""cravings"", ""food guilt"", ""identity change"", ""motivation"", ""relationships""]","[""food guilt"", ""how to stop food noise"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""motivation"", ""relationships"", ""sustainable habits"", ""why can't I eat just one""]",An episode centered on sustainable habits.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (057)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""food guilt"", ""how to stop food noise"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""motivation"", ""relationships"", ""sustainable habits"", ""why can't I eat just one""]",[],,,[],False
EP-046,46,How to cure your fat mind,2025-03-09,https://youtube.com/watch?v=hPU4PMg932Y,EP-046 - How to cure your fat mind - EP 046.txt,../YT Transcripts/EP-046 - How to cure your fat mind - EP 046.txt,Solo,,identity change,"[""exercise routine"", ""fear of regain"", ""maintenance mindset"", ""relationships"", ""sustainable habits""]","[""identity change"", ""exercise routine"", ""fear of regain"", ""maintenance mindset"", ""relationships"", ""sustainable habits""]","[""exercise routine"", ""how to maintain weight loss"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""maintenance mindset"", ""relationships"", ""scared to gain the weight back"", ""sustainable habits""]",An episode centered on identity change.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (058)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""exercise routine"", ""how to maintain weight loss"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""maintenance mindset"", ""relationships"", ""scared to gain the weight back"", ""sustainable habits""]",[],,,[],False
EP-047,47,I want to lose weight as fast as possible...,2025-03-09,https://youtube.com/watch?v=ahjDbmTf-qU,EP-047 - -I want to lose weight as fast as possible...- - EP 047.txt,../YT Transcripts/EP-047 - -I want to lose weight as fast as possible...- - EP 047.txt,Solo,,sustainable habits,"[""consistency"", ""fear of regain"", ""maintenance mindset"", ""relationships"", ""scale obsession""]","[""sustainable habits"", ""consistency"", ""fear of regain"", ""maintenance mindset"", ""relationships"", ""scale obsession""]","[""I know what to do but I don't do it"", ""consistency over perfection"", ""how to maintain weight loss"", ""maintenance mindset"", ""relationships"", ""scale obsession"", ""scared to gain the weight back"", ""sustainable habits""]",An episode centered on sustainable habits.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (059)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""I know what to do but I don't do it"", ""consistency over perfection"", ""how to maintain weight loss"", ""maintenance mindset"", ""relationships"", ""scale obsession"", ""scared to gain the weight back"", ""sustainable habits""]",[],,,[],False
EP-048,48,3 steps to a healthy relationship with food,2025-03-09,https://youtube.com/watch?v=iyPDx8u420o,EP-048 - 3 steps to a healthy relationship with food - EP 048.txt,../YT Transcripts/EP-048 - 3 steps to a healthy relationship with food - EP 048.txt,Solo,,sustainable habits,"[""calorie tracking"", ""fear of regain"", ""food guilt"", ""relationships"", ""weekend overeating""]","[""sustainable habits"", ""calorie tracking"", ""fear of regain"", ""food guilt"", ""relationships"", ""weekend overeating""]","[""calorie tracking"", ""food guilt"", ""how to maintain weight loss"", ""relationships"", ""scared to gain the weight back"", ""sustainable habits"", ""weekend overeating""]",An episode centered on sustainable habits.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (060)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""calorie tracking"", ""food guilt"", ""how to maintain weight loss"", ""relationships"", ""scared to gain the weight back"", ""sustainable habits"", ""weekend overeating""]",[],,,[],False
EP-049,49,I Will Be Fat Forever,2025-03-09,https://youtube.com/watch?v=Mamo8BA4uZk,EP-049 - -I Will Be Fat Forever- - EP 049.txt,../YT Transcripts/EP-049 - -I Will Be Fat Forever- - EP 049.txt,Solo,,sustainable habits,"[""consistency"", ""cravings"", ""motivation"", ""nutrition"", ""scale obsession""]","[""sustainable habits"", ""consistency"", ""cravings"", ""motivation"", ""nutrition"", ""scale obsession""]","[""I know what to do but I don't do it"", ""consistency over perfection"", ""how to stop food noise"", ""motivation"", ""nutrition"", ""scale obsession"", ""sustainable habits"", ""why can't I eat just one""]",An episode centered on sustainable habits.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (061)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""I know what to do but I don't do it"", ""consistency over perfection"", ""how to stop food noise"", ""motivation"", ""nutrition"", ""scale obsession"", ""sustainable habits"", ""why can't I eat just one""]",[],,,[],False
EP-050,50,How to survive he holidays on your weight loss journey,2025-03-09,https://youtube.com/watch?v=XpIDTBAVmCI,EP-050 - How to survive he holidays on your weight loss journey - EP 050.txt,../YT Transcripts/EP-050 - How to survive he holidays on your weight loss journey - EP 050.txt,Solo,,sustainable habits,"[""calorie tracking"", ""cravings"", ""fear of regain"", ""food guilt"", ""relationships""]","[""sustainable habits"", ""calorie tracking"", ""cravings"", ""fear of regain"", ""food guilt"", ""relationships""]","[""calorie tracking"", ""food guilt"", ""how to maintain weight loss"", ""how to stop food noise"", ""relationships"", ""scared to gain the weight back"", ""sustainable habits"", ""why can't I eat just one""]",An episode centered on sustainable habits.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (062)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""calorie tracking"", ""food guilt"", ""how to maintain weight loss"", ""how to stop food noise"", ""relationships"", ""scared to gain the weight back"", ""sustainable habits"", ""why can't I eat just one""]",[],,,[],False
EP-051,51,The most underrated weight loss hack...,2025-03-09,https://youtube.com/watch?v=7Fv2Jkhy6Kw,EP-051 - The most underrated weight loss hack... - EP 051.txt,../YT Transcripts/EP-051 - The most underrated weight loss hack... - EP 051.txt,Solo,,relationships,"[""binge eating"", ""cravings"", ""food guilt"", ""nutrition"", ""sustainable habits""]","[""relationships"", ""binge eating"", ""cravings"", ""food guilt"", ""nutrition"", ""sustainable habits""]","[""breaking binge cycles"", ""food guilt"", ""how to stop food noise"", ""nutrition"", ""relationships"", ""sustainable habits"", ""why can't I eat just one"", ""why can't I stop binge eating""]",An episode centered on relationships.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (063)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Relationships,"[""breaking binge cycles"", ""food guilt"", ""how to stop food noise"", ""nutrition"", ""relationships"", ""sustainable habits"", ""why can't I eat just one"", ""why can't I stop binge eating""]",[],,,[],False
EP-052,52,How I lost 110 pounds and kept it off for 6 years,2024-12-14,https://youtube.com/watch?v=RiYKo_yBBTc,EP-052 - How I lost 110 pounds and kept it off for 6 years - EP 052.txt,../YT Transcripts/EP-052 - How I lost 110 pounds and kept it off for 6 years - EP 052.txt,Success Story,,maintenance mindset,"[""confidence"", ""relationships"", ""social pressure"", ""sustainable habits""]","[""maintenance mindset"", ""confidence"", ""relationships"", ""social pressure"", ""sustainable habits""]","[""confidence"", ""maintenance mindset"", ""relationships"", ""social pressure"", ""sustainable habits""]",An episode centered on maintenance mindset.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (001)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Weight Loss Maintenance,"[""confidence"", ""maintenance mindset"", ""relationships"", ""social pressure"", ""sustainable habits""]",[],,,[],True
EP-053,53,The common sense approach to working out,2024-12-16,https://youtube.com/watch?v=3NG-oc_Jm30,EP-053 - The common sense approach to working out - EP 053.txt,../YT Transcripts/EP-053 - The common sense approach to working out - EP 053.txt,Solo,,exercise routine,"[""binge eating"", ""consistency"", ""food guilt"", ""relationships"", ""sustainable habits""]","[""exercise routine"", ""binge eating"", ""consistency"", ""food guilt"", ""relationships"", ""sustainable habits""]","[""I know what to do but I don't do it"", ""breaking binge cycles"", ""consistency over perfection"", ""exercise routine"", ""food guilt"", ""relationships"", ""sustainable habits"", ""why can't I stop binge eating""]",An episode centered on exercise routine.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (002)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Exercise,"[""I know what to do but I don't do it"", ""breaking binge cycles"", ""consistency over perfection"", ""exercise routine"", ""food guilt"", ""relationships"", ""sustainable habits"", ""why can't I stop binge eating""]",[],,,[],False
EP-054,54,Your last New Year's resolution ever,2024-12-25,https://youtube.com/watch?v=BTkOMvUyy5A,EP-054 - Your last New Year's resolution ever - EP 054.txt,../YT Transcripts/EP-054 - Your last New Year's resolution ever - EP 054.txt,Solo,,consistency,"[""identity change"", ""motivation"", ""nutrition"", ""social pressure"", ""weight loss plateau""]","[""consistency"", ""identity change"", ""motivation"", ""nutrition"", ""social pressure"", ""weight loss plateau""]","[""I know what to do but I don't do it"", ""consistency over perfection"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""motivation"", ""nutrition"", ""scale hasn't moved in weeks"", ""social pressure"", ""what to do during a weight loss plateau""]",An episode centered on consistency.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (003)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""I know what to do but I don't do it"", ""consistency over perfection"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""motivation"", ""nutrition"", ""scale hasn't moved in weeks"", ""social pressure"", ""what to do during a weight loss plateau""]",[],,,[],False
EP-055,55,How did I get so fat in the first place?,2025-01-01,https://youtube.com/watch?v=dasxRQuF7SY,EP-055 - How did I get so fat in the first place- - EP 055.txt,../YT Transcripts/EP-055 - How did I get so fat in the first place- - EP 055.txt,Solo,,sustainable habits,"[""confidence"", ""consistency"", ""cravings"", ""fear of regain"", ""relationships""]","[""sustainable habits"", ""confidence"", ""consistency"", ""cravings"", ""fear of regain"", ""relationships""]","[""I know what to do but I don't do it"", ""confidence"", ""consistency over perfection"", ""how to maintain weight loss"", ""how to stop food noise"", ""relationships"", ""scared to gain the weight back"", ""sustainable habits"", ""why can't I eat just one""]",An episode centered on sustainable habits.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (004)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""I know what to do but I don't do it"", ""confidence"", ""consistency over perfection"", ""how to maintain weight loss"", ""how to stop food noise"", ""relationships"", ""scared to gain the weight back"", ""sustainable habits"", ""why can't I eat just one""]",[],,,[],False
